SAMPLE               ACTION               PATH                                                     TIME
1                    CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
10                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
100                  CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
101                  CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
102                  CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
103                  CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
11                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
12                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
13                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
14                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
15                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
16                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
17                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                    0.0009987354278564453s 
18                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
19                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
2                    CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
20                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                    0.0009975433349609375s 
21                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
22                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
23                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
24                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
25                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
26                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
27                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
28                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
