,node_number,named_selection,x_loc,y_loc,z_loc,x_disp,y_disp,z_disp,x_force,y_force,z_force
0,1,4,0.083874,1.3589,0.0,-8.009374233018981e-06,0.00032369480229357995,0.0,0.0,0.0,0.0
1,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,4,0.08076699999999999,1.3085,0.0,-8.009374233018981e-06,0.00032369480229357995,0.0,0.0,0.0,0.0
3,4,-1,0.07766,1.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,-1,0.074552,1.2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,-1,0.07144500000000001,1.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,-1,0.068338,1.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,-1,0.065231,1.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,-1,0.061995,1.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,-1,0.05809299999999999,0.9412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,-1,0.053319000000000005,0.86385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,-1,0.047802,0.77446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,-1,0.041873,0.6784100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,-1,0.035961,0.5826100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,-1,0.03047,0.49366000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,-1,0.025731,0.41689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,-1,0.021856999999999998,0.35412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,-1,0.018637,0.30195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,-1,0.01553,0.25161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,-1,0.012423,0.20127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,-1,0.009316,0.15093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,-1,0.0062089,0.10059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,-1,0.0031016999999999998,0.050252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
