,node_number,x_loc,y_loc,z_loc,x_disp,y_disp,z_disp
0,1,-0.18861,1.1049,0.0,0.0010876,0.00048899,0.0
1,2,0.0,0.0,0.0,-6.163e-05,-1.2973e-05,0.0
2,3,-0.18017,1.0554,0.0,0.0010876,0.00048899,0.0
3,4,-0.17172,1.0059,0.0,0.0010876,0.00048899,0.0
4,5,-0.16328,0.95649,0.0,-0.00061195,-0.00038751,0.0
5,6,-0.15484,0.90704,0.0,-0.00048399,-0.00032936,0.0
6,7,-0.1464,0.85759,0.0,-0.00036414,0.00012968,0.0
7,8,-0.13796,0.80813,0.0,-0.00047195,0.00026275,0.0
8,9,-0.12945,0.7583,0.0,-0.00059961,0.00038092,0.0
9,10,-0.11963,0.70081,0.0,-0.00076966,0.00041665,0.0
10,11,-0.10783,0.63168,0.0,-0.00093135,0.00037159,0.0
11,12,-0.094253,0.55213,0.0,-0.0010267000000000002,0.00026261,0.0
12,13,-0.080694,0.4727,0.0,-0.0010285000000000001,0.00014298,0.0
13,14,-0.06888,0.40349,0.0,-0.00096303,4.8151999999999996e-05,0.0
14,15,-0.059114,0.34629,0.0,-0.00086833,-1.5387e-05,0.0
15,16,-0.050619,0.29652,0.0,-0.00076181,-5.405e-05,0.0
16,17,-0.042177,0.24706999999999998,0.0,-0.00064173,-7.4956e-05,0.0
17,18,-0.033735,0.19762000000000002,0.0,-0.00051618,-7.8605e-05,0.0
18,19,-0.025293,0.14816,0.0,-0.00039305,-6.8602e-05,0.0
19,20,-0.016850999999999998,0.098709,0.0,-0.00027707,-5.0827e-05,0.0
20,21,-0.0084084,0.049256,0.0,-0.00016795,-3.1306e-05,0.0
21,22,0.7853600000000001,0.40973000000000004,0.0,0.0014062,0.001457,0.0
22,23,0.044576,0.023256,0.0,-0.00011202,8.320200000000001e-05,0.0
23,24,0.089152,0.046511000000000004,0.0,-0.00016185,0.00017678,0.0
24,25,0.13373,0.069767,0.0,-0.00020591,0.00026566,0.0
25,26,0.1783,0.09302200000000001,0.0,-0.00023819999999999996,0.00035301,0.0
26,27,0.22288000000000002,0.11628,0.0,-0.0002545,0.00044704,0.0
27,28,0.26749,0.13955,0.0,-0.00025348,0.00056032,0.0
28,29,0.3127,0.16314,0.0,-0.00023745,0.00071234,0.0
29,30,0.36434,0.19008,0.0,-0.00021596,0.00096207,0.0
30,31,0.42125,0.21977,0.0,-0.00023822,0.0013681,0.0
31,32,0.47208,0.24628000000000003,0.0,-0.00038954,0.0018203,0.0
32,33,0.51799,0.27024000000000004,0.0,-0.00067972,0.0021733,0.0
33,34,0.56257,0.29349000000000003,0.0,-0.0010972999999999998,0.0023187,0.0
34,35,0.60714,0.31675,0.0,-0.0010972999999999998,0.0023187,0.0
35,36,0.65172,0.34,0.0,-0.00058148,6.4101e-05,0.0
36,37,0.69629,0.36325999999999997,0.0,-0.00031435,-0.00032743,0.0
37,38,0.74087,0.38650999999999996,0.0,-0.00031435,-0.00032743,0.0
38,39,0.74473,0.43873,0.0,0.0014062,0.001457,0.0
39,40,0.70409,0.46773000000000003,0.0,0.0014062,0.001457,0.0
40,41,0.66346,0.49673,0.0,-0.00031435,-0.00032743,0.0
41,42,0.62283,0.52573,0.0,-0.00031435,-0.00032743,0.0
42,43,0.58219,0.5547300000000001,0.0,-0.00031435,-0.00032743,0.0
43,44,0.54156,0.58373,0.0,-0.00058148,6.4101e-05,0.0
44,45,0.50062,0.61295,0.0,-0.00058148,6.4101e-05,0.0
45,46,0.45482,0.64564,0.0,-0.00058148,6.4101e-05,0.0
46,47,0.39926999999999996,0.68528,0.0,-0.0010972999999999998,0.0023187,0.0
47,48,0.33518000000000003,0.7310300000000001,0.0,-0.0010972999999999998,0.0023187,0.0
48,49,0.26625,0.78022,0.0,6.551199999999999e-05,-0.00027576,0.0
49,50,0.20093,0.8268399999999999,0.0,-0.00122,0.000354,0.0
50,51,0.14348,0.86784,0.0,-0.00074158,0.00053024,0.0
51,52,0.096338,0.90149,0.0,0.00023181,0.0014085,0.0
52,53,0.055245,0.93081,0.0,0.00023181,0.0014085,0.0
53,54,0.014611,0.9598200000000001,0.0,-0.00024914,-2.0081e-05,0.0
54,55,-0.026023,0.98882,0.0,-0.00024914,-2.0081e-05,0.0
55,56,-0.06665700000000001,1.0178,0.0,0.0010876,0.00048899,0.0
56,57,-0.10729000000000001,1.0468,0.0,0.0010876,0.00048899,0.0
57,58,-0.14793,1.0758,0.0,0.0010876,0.00048899,0.0
58,59,0.46889,0.43183999999999995,0.0,-0.0010972999999999998,0.0023187,0.0
59,60,0.0053815,0.8594299999999999,0.0,-0.00018583,0.0005197,0.0
60,61,0.24939,0.37162,0.0,-0.00097698,0.00034492,0.0
61,62,0.1958,0.3971,0.0,-0.0010262000000000001,0.00026881,0.0
62,63,0.16972,0.33588,0.0,-0.00087023,0.00024922,0.0
63,64,0.19842,0.29472,0.0,-0.00073947,0.00031169,0.0
64,65,0.2186,0.45188,0.0,-0.001106,0.00027067,0.0
65,66,0.30308,0.42813,0.0,-0.0012296,0.00034060000000000004,0.0
66,67,0.43698000000000004,0.434,0.0,-0.0010972999999999998,0.0023187,0.0
67,68,0.17804,0.24491999999999997,0.0,-0.00059455,0.0003017,0.0
68,69,0.48567,0.4562,0.0,-0.0010972999999999998,0.0023187,0.0
69,70,0.48181999999999997,0.40606,0.0,-0.0010972999999999998,0.0023187,0.0
70,71,0.08644400000000001,0.22868000000000002,0.0,-0.0005875,0.00015433,0.0
71,72,0.12226,0.33971999999999997,0.0,-0.00087825,0.00019394,0.0
72,73,0.14801,0.46446000000000004,0.0,-0.0011178,0.00022007,0.0
73,74,0.44023,0.39593,0.0,-0.00098925,0.0020169,0.0
74,75,0.39204,0.38366999999999996,0.0,-0.00099954,0.00087866,0.0
75,76,0.33431,0.36621,0.0,-0.0009725,0.00069939,0.0
76,77,0.28491,0.33241,0.0,-0.0008362,0.00049515,0.0
77,78,0.24861,0.2972,0.0,-0.00072649,0.00041812,0.0
78,79,0.21579,0.26927,0.0,-0.0006482,0.00036202,0.0
79,80,0.07298099999999999,0.67,0.0,-0.0010099,0.00027968,0.0
80,81,0.16005999999999998,0.54879,0.0,-0.0011264,0.0002471,0.0
81,82,0.25277,0.52044,0.0,-0.0012860999999999999,9.7185e-05,0.0
82,83,0.32925,0.5010899999999999,0.0,-0.00122,0.000354,0.0
83,84,0.44703000000000004,0.47226999999999997,0.0,-0.0010972999999999998,0.0023187,0.0
84,85,0.13245,0.21794000000000002,0.0,-0.00054163,0.00023239999999999998,0.0
85,86,0.51885,0.42805,0.0,-0.00058148,6.4101e-05,0.0
86,87,0.50295,0.37235999999999997,0.0,-0.0010972999999999998,0.0023187,0.0
87,88,0.057224000000000004,0.22905,0.0,-0.00059477,0.00010655,0.0
88,89,0.10051,0.20069,0.0,-0.0005087,0.00018184,0.0
89,90,0.067832,0.33264,0.0,-0.00085797,0.000133,0.0
90,91,0.06943300000000001,0.45385,0.0,-0.0010613,0.00017264,0.0
91,92,0.058435,0.5223,0.0,-0.0010914000000000002,0.00019675,0.0
92,93,0.040315,0.58558,0.0,-0.0010625,0.00022414,0.0
93,94,0.020419999999999997,0.6421399999999999,0.0,-0.00098798,0.0002676,0.0
94,95,0.0027495,0.7139300000000001,0.0,-0.00080786,0.00034321,0.0
95,96,0.41203999999999996,0.33644,0.0,-0.00078052,0.0013352,0.0
96,97,0.31832,0.28308,0.0,-0.0006261,0.00067256,0.0
97,98,0.23342,0.23005,0.0,-0.00050875,0.00042895,0.0
98,99,0.19204000000000002,0.20378,0.0,-0.00046656,0.00034985,0.0
99,100,-0.018849,0.76902,0.0,-0.00059251,0.00037842,0.0
100,101,0.54904,0.39279000000000003,0.0,-0.00058148,6.4101e-05,0.0
101,102,0.11035999999999999,0.15616,0.0,-0.00039326,0.00020859999999999997,0.0
102,103,-0.030929,0.86375,0.0,-0.00026338,0.00024983,0.0
103,104,0.020229,0.8244100000000001,0.0,-0.00039573,0.00058043,0.0
104,105,0.11585,0.71751,0.0,-0.0010635,0.00029847,0.0
105,106,0.17301,0.6743899999999999,0.0,-0.0011717000000000001,0.00023529,0.0
106,107,0.2337,0.6269399999999999,0.0,-0.00122,0.000354,0.0
107,108,0.2966,0.58277,0.0,-0.00122,0.000354,0.0
108,109,0.36084,0.55057,0.0,-0.0010972999999999998,0.0023187,0.0
109,110,0.41789,0.52688,0.0,-0.0010972999999999998,0.0023187,0.0
110,111,0.46881000000000006,0.50638,0.0,-0.0010972999999999998,0.0023187,0.0
111,112,0.5537,0.45533999999999997,0.0,-0.00058148,6.4101e-05,0.0
112,113,0.068549,0.13622,0.0,-0.00035799,0.0001306,0.0
113,114,0.026223000000000003,0.11674000000000001,0.0,-0.00031762,4.4257e-05,0.0
114,115,0.019247,0.1658,0.0,-0.00043619,3.1786e-05,0.0
115,116,0.014386000000000001,0.2155,0.0,-0.00056368,2.9036999999999997e-05,0.0
116,117,0.010909,0.26102,0.0,-0.00068187,3.5205e-05,0.0
117,118,0.0097661,0.31785,0.0,-0.00082096,5.7691e-05,0.0
118,119,0.0035303000000000005,0.3706,0.0,-0.00092945,8.1425e-05,0.0
119,120,-0.0053163,0.42912,0.0,-0.0010151,0.00011718,0.0
120,121,-0.017162,0.49423999999999996,0.0,-0.0010586999999999999,0.00016673,0.0
121,122,-0.030430000000000002,0.5639,0.0,-0.0010425,0.00022623,0.0
122,123,-0.041437,0.63377,0.0,-0.00095138,0.00028489,0.0
123,124,-0.057812999999999996,0.70514,0.0,-0.00076997,0.00033113,0.0
124,125,0.67401,0.39896,0.0,-0.00031435,-0.00032743,0.0
125,126,0.6251,0.37785,0.0,-0.00058148,6.4101e-05,0.0
126,127,0.57698,0.35609,0.0,-0.00058148,6.4101e-05,0.0
127,128,0.5316,0.33378,0.0,-0.0010972999999999998,0.0023187,0.0
128,129,0.48781,0.31199,0.0,-0.00086675,0.0020429000000000003,0.0
129,130,0.44197,0.28791,0.0,-0.00063846,0.0015952,0.0
130,131,0.39544,0.26302,0.0,-0.00048738,0.0011744000000000001,0.0
131,132,0.29454,0.2098,0.0,-0.0003807,0.00062996,0.0
132,133,0.25101999999999997,0.18603,0.0,-0.00036564,0.00050052,0.0
133,134,0.16339,0.13527,0.0,-0.00032208,0.00031687,0.0
134,135,0.12172000000000001,0.11177000000000001,0.0,-0.00029019,0.00023858,0.0
135,136,0.078438,0.089479,0.0,-0.00025188,0.00015362,0.0
136,137,0.034415,0.068185,0.0,-0.00020875,6.1543e-05,0.0
137,138,-0.069142,0.76027,0.0,-0.00058792,0.00032772,0.0
138,139,-0.07547100000000001,0.81158,0.0,-0.0004271,0.00026192,0.0
139,140,-0.079876,0.86546,0.0,-0.00031614,0.00016982,0.0
140,141,-0.12828,1.0081,0.0,0.0010876,0.00048899,0.0
141,142,-0.10814000000000001,0.9753200000000001,0.0,-0.00024914,-2.0081e-05,0.0
142,143,-0.077555,0.92963,0.0,-0.00024914,-2.0081e-05,0.0
143,144,-0.017335,0.9086799999999999,0.0,-0.00024914,-2.0081e-05,0.0
144,145,0.028277999999999998,0.89051,0.0,8.562799999999999e-05,0.0008797000000000001,0.0
145,146,0.064527,0.85769,0.0,-0.00034418,0.00097193,0.0
146,147,0.10078,0.8200799999999999,0.0,-0.00085303,0.00056083,0.0
147,148,0.15797,0.77265,0.0,-0.00094658,0.00024116,0.0
148,149,0.22121999999999997,0.72582,0.0,-0.00122,0.000354,0.0
149,150,0.28836,0.6814600000000001,0.0,6.551199999999999e-05,-0.00027576,0.0
150,151,0.35017,0.63971,0.0,-0.0010972999999999998,0.0023187,0.0
151,152,0.40362,0.60172,0.0,-0.0010972999999999998,0.0023187,0.0
152,153,0.45253000000000004,0.5712,0.0,-0.00058148,6.4101e-05,0.0
153,154,0.49899,0.54506,0.0,-0.00058148,6.4101e-05,0.0
154,155,0.54511,0.5191899999999999,0.0,-0.00058148,6.4101e-05,0.0
155,156,0.59041,0.4917,0.0,-0.00031435,-0.00032743,0.0
156,157,0.6501399999999999,0.45197,0.0,-0.00031435,-0.00032743,0.0
157,158,0.68934,0.44803000000000004,0.0,-0.00031435,-0.00032743,0.0
158,159,0.7047399999999999,0.41803999999999997,0.0,-0.00031435,-0.00032743,0.0
159,160,-0.025867,0.81219,0.0,-0.00041609,0.00037259,0.0
160,161,0.39244,0.48576,0.0,-0.0010972999999999998,0.0023187,0.0
161,162,0.37984,0.43573999999999996,0.0,-0.00122,0.000354,0.0
162,163,0.042821,0.77432,0.0,-0.00070549,0.00048196,0.0
163,164,0.0606,0.26877,0.0,-0.00069919,0.00011427,0.0
164,165,0.14849,0.17692,0.0,-0.00042578,0.00027497,0.0
165,166,0.11307,0.61774,0.0,-0.0011103,0.00023026,0.0
166,167,0.59459,0.41736,0.0,-0.00058148,6.4101e-05,0.0
167,168,0.45941000000000004,0.35564,0.0,-0.00090933,0.001975,0.0
168,169,0.36457,0.31343000000000004,0.0,-0.00071095,0.00092138,0.0
169,170,0.10758,0.26345999999999997,0.0,-0.00067645,0.0001823,0.0
170,171,0.34387,0.23621999999999999,0.0,-0.00041318,0.00084008,0.0
171,172,0.20715,0.1608,0.0,-0.00034745,0.00040172,0.0
172,173,0.071076,0.3911,0.0,-0.00097861,0.00015174,0.0
173,174,0.060779999999999994,0.18194000000000002,0.0,-0.00047143,0.00011305,0.0
174,175,0.51249,0.48525,0.0,-0.00058148,6.4101e-05,0.0
175,176,0.16784000000000002,0.29194000000000003,0.0,-0.0007415,0.00026361,0.0
176,177,0.27418000000000003,0.25664000000000003,0.0,-0.00055992,0.00052837,0.0
177,178,0.13564,0.39862,0.0,-0.0010135,0.00020224,0.0
178,179,0.21306999999999998,0.32587,0.0,-0.00083847,0.00031939,0.0
179,180,-0.18439,1.0801,0.0,0.0010876,0.00048899,0.0
180,181,-0.16827,1.0903,0.0,0.0010876,0.00048899,0.0
181,182,-0.0042042,0.024628,0.0,-0.00011478,-2.2078e-05,0.0
182,183,0.022288,0.011628,0.0,-8.677899999999999e-05,3.5164000000000004e-05,0.0
183,184,-0.17595,1.0307,0.0,0.0010876,0.00048899,0.0
184,185,-0.16405,1.0656,0.0,0.0010876,0.00048899,0.0
185,186,-0.1675,0.9812200000000001,0.0,0.0010876,0.00048899,0.0
186,187,-0.15982000000000002,1.0409,0.0,0.0010876,0.00048899,0.0
187,188,-0.15,1.0070000000000001,0.0,0.0010876,0.00048899,0.0
188,189,-0.15905999999999998,0.9317700000000001,0.0,-0.00061195,-0.00038751,0.0
189,190,-0.13571,0.96591,0.0,-0.00061195,-0.00038751,0.0
190,191,-0.15062,0.88231,0.0,-0.00033172,-6.9674e-05,0.0
191,192,-0.1162,0.91833,0.0,-0.00034496,1.9103e-05,0.0
192,193,-0.14218,0.83286,0.0,-0.00042066,0.00020275,0.0
193,194,-0.11314,0.8615299999999999,0.0,-0.00033961,0.0001022,0.0
194,195,-0.1337,0.78322,0.0,-0.00052859,0.00033042,0.0
195,196,-0.10670999999999999,0.80986,0.0,-0.00044489,0.00025326,0.0
196,197,-0.12454000000000001,0.72955,0.0,-0.00068611,0.00040889999999999996,0.0
197,198,-0.09929500000000001,0.7592899999999999,0.0,-0.00058793,0.00033214,0.0
198,199,-0.11373,0.66625,0.0,-0.00085849,0.00040308,0.0
199,200,-0.088724,0.70298,0.0,-0.00076418,0.00035669,0.0
200,201,-0.10103999999999999,0.59191,0.0,-0.00099199,0.00032101,0.0
201,202,-0.074635,0.63272,0.0,-0.00093848,0.00031625,0.0
202,203,-0.087474,0.51241,0.0,-0.0010385,0.0002028,0.0
203,204,-0.062341999999999995,0.55801,0.0,-0.0010345999999999999,0.00024009999999999998,0.0
204,205,-0.074787,0.4381,0.0,-0.001003,9.3543e-05,0.0
205,206,-0.048928,0.48346999999999996,0.0,-0.0010452999999999999,0.00015551,0.0
206,207,-0.063997,0.37489,0.0,-0.00092011,1.4262e-05,0.0
207,208,-0.037098,0.4163,0.0,-0.00099077,8.638799999999999e-05,0.0
208,209,-0.054867,0.32141,0.0,-0.0008173999999999999,-3.6895e-05,0.0
209,210,-0.027792,0.35844000000000004,0.0,-0.00090064,3.8406e-05,0.0
210,211,-0.046398,0.2718,0.0,-0.00070306,-6.6703e-05,0.0
211,212,-0.020426,0.30719,0.0,-0.00079274,7.4880999999999995e-06,0.0
212,213,-0.037956000000000004,0.22234,0.0,-0.0005791,-7.869600000000001e-05,0.0
213,214,-0.015634000000000002,0.25405,0.0,-0.00066284,-1.5568e-05,0.0
214,215,-0.029514,0.17289000000000002,0.0,-0.00045391,-7.4973e-05,0.0
215,216,-0.0096746,0.20656,0.0,-0.00054059,-2.1469e-05,0.0
216,217,-0.021072,0.12344000000000001,0.0,-0.00033405,-6.0317e-05,0.0
217,218,-0.0030228,0.15698,0.0,-0.00041497,-1.656e-05,0.0
218,219,-0.012629000000000001,0.073982,0.0,-0.00022187,-4.1065e-05,0.0
219,220,0.004686,0.10772999999999999,0.0,-0.00029751,-2.6092000000000004e-06,0.0
220,221,0.013003,0.05872,0.0,-0.00018843,1.5158e-05,0.0
221,222,0.76312,0.39812,0.0,0.0014062,0.001457,0.0
222,223,0.7650399999999999,0.42423,0.0,0.0014062,0.001457,0.0
223,224,0.06686399999999999,0.034883,0.0,-0.00013731,0.00013052,0.0
224,225,0.039495,0.04572,0.0,-0.00016031,7.234199999999999e-05,0.0
225,226,0.11144000000000001,0.058138999999999996,0.0,-0.00018503,0.00022171,0.0
226,227,0.08379500000000001,0.067995,0.0,-0.00020630000000000003,0.00016547,0.0
227,228,0.15602,0.08139400000000001,0.0,-0.00022386,0.00030911,0.0
228,229,0.12772,0.090767,0.0,-0.00024647,0.00025288,0.0
229,230,0.20059000000000002,0.10465,0.0,-0.00024853,0.0003985,0.0
230,231,0.17085,0.11414,0.0,-0.00027714,0.00033625,0.0
231,232,0.24519000000000002,0.12791,0.0,-0.00025612,0.00050032,0.0
232,233,0.21500999999999998,0.13854,0.0,-0.00029625,0.00042623,0.0
233,234,0.2901,0.15134,0.0,-0.00024683,0.00063073,0.0
234,235,0.25926,0.16279000000000002,0.0,-0.00030294,0.00053285,0.0
235,236,0.33852,0.17661,0.0,-0.00022481,0.0008262,0.0
236,237,0.30362,0.18647,0.0,-0.00030226,0.00067317,0.0
237,238,0.3928,0.20492,0.0,-0.00021398,0.0011480000000000001,0.0
238,239,0.35411,0.21315,0.0,-0.0003105,0.00090191,0.0
239,240,0.44666999999999996,0.23303000000000001,0.0,-0.00029298,0.0015892999999999999,0.0
240,241,0.40835,0.2414,0.0,-0.00037443,0.0012673,0.0
241,242,0.49503,0.25826,0.0,-0.00051831,0.0020120999999999997,0.0
242,243,0.45702,0.2671,0.0,-0.00054014,0.0017005,0.0
243,244,0.54028,0.28186,0.0,-0.00087879,0.0022743999999999998,0.0
244,245,0.5029,0.29111,0.0,-0.00081058,0.0020991,0.0
245,246,0.58485,0.30512,0.0,-0.0010972999999999998,0.0023187,0.0
246,247,0.54708,0.31363,0.0,-0.0010972999999999998,0.0023187,0.0
247,248,0.62943,0.32838,0.0,-0.00058148,6.4101e-05,0.0
248,249,0.59206,0.33642,0.0,-0.0010972999999999998,0.0023187,0.0
249,250,0.67401,0.35163,0.0,-0.00058148,6.4101e-05,0.0
250,251,0.63841,0.35891999999999996,0.0,-0.00058148,6.4101e-05,0.0
251,252,0.71858,0.37489,0.0,-0.00031435,-0.00032743,0.0
252,253,0.68515,0.38111,0.0,-0.00031435,-0.00032743,0.0
253,254,0.7228100000000001,0.40226999999999996,0.0,-0.00031435,-0.00032743,0.0
254,255,0.72441,0.45323,0.0,0.0014062,0.001457,0.0
255,256,0.72473,0.42838000000000004,0.0,0.0014062,0.001457,0.0
256,257,0.68378,0.48223,0.0,0.0014062,0.001457,0.0
257,258,0.69672,0.45788,0.0,0.0014062,0.001457,0.0
258,259,0.6431399999999999,0.5112300000000001,0.0,-0.00031435,-0.00032743,0.0
259,260,0.6568,0.47435,0.0,-0.00031435,-0.00032743,0.0
260,261,0.60251,0.54023,0.0,-0.00031435,-0.00032743,0.0
261,262,0.6066199999999999,0.50872,0.0,-0.00031435,-0.00032743,0.0
262,263,0.56188,0.56923,0.0,-0.00031435,-0.00032743,0.0
263,264,0.56365,0.53696,0.0,-0.00031435,-0.00032743,0.0
264,265,0.5210899999999999,0.59834,0.0,-0.00058148,6.4101e-05,0.0
265,266,0.52027,0.56439,0.0,-0.00058148,6.4101e-05,0.0
266,267,0.47772,0.62929,0.0,-0.00058148,6.4101e-05,0.0
267,268,0.47657,0.59207,0.0,-0.00058148,6.4101e-05,0.0
268,269,0.42704,0.66546,0.0,-0.0010972999999999998,0.0023187,0.0
269,270,0.42922,0.62368,0.0,-0.0010972999999999998,0.0023187,0.0
270,271,0.36722,0.70816,0.0,-0.0010972999999999998,0.0023187,0.0
271,272,0.37472,0.6625,0.0,-0.0010972999999999998,0.0023187,0.0
272,273,0.30071,0.75562,0.0,-0.0010972999999999998,0.0023187,0.0
273,274,0.31177,0.70625,0.0,-0.0010972999999999998,0.0023187,0.0
274,275,0.23359000000000002,0.80353,0.0,6.551199999999999e-05,-0.00027576,0.0
275,276,0.24373000000000003,0.75302,0.0,6.551199999999999e-05,-0.00027576,0.0
276,277,0.17221,0.84734,0.0,-0.00122,0.000354,0.0
277,278,0.17945,0.79975,0.0,-0.00122,0.000354,0.0
278,279,0.11990999999999999,0.88466,0.0,-0.00034122,0.00074899,0.0
279,280,0.12212999999999999,0.84396,0.0,-0.00079981,0.00058025,0.0
280,281,0.075791,0.91615,0.0,0.00023181,0.0014085,0.0
281,282,0.080432,0.87959,0.0,-0.0001639,0.0011739,0.0
282,283,0.034928,0.94532,0.0,-0.00024914,-2.0081e-05,0.0
283,284,0.041761,0.91066,0.0,0.00023181,0.0014085,0.0
284,285,-0.0057063,0.9743200000000001,0.0,-0.00024914,-2.0081e-05,0.0
285,286,-0.001362,0.93425,0.0,-0.00024914,-2.0081e-05,0.0
286,287,-0.04634,1.0033,0.0,-0.00024914,-2.0081e-05,0.0
287,288,-0.051789,0.9592200000000001,0.0,-0.00024914,-2.0081e-05,0.0
288,289,-0.086974,1.0323,0.0,0.0010876,0.00048899,0.0
289,290,-0.087398,0.9965700000000001,0.0,0.0010876,0.00048899,0.0
290,291,-0.12761,1.0613,0.0,0.0010876,0.00048899,0.0
291,292,-0.11778,1.0274,0.0,0.0010876,0.00048899,0.0
292,293,0.45293,0.43291999999999997,0.0,-0.0010972999999999998,0.0023187,0.0
293,294,0.47728000000000004,0.44401999999999997,0.0,-0.0010972999999999998,0.0023187,0.0
294,295,0.47535,0.41895,0.0,-0.0010972999999999998,0.0023187,0.0
295,296,-0.012773999999999999,0.86159,0.0,-0.00021036,0.00036002,0.0
296,297,0.012805,0.8419200000000001,0.0,-0.00028519,0.00057699,0.0
297,298,0.01683,0.87497,0.0,-6.3548e-05,0.00065682,0.0
298,299,0.2226,0.38436,0.0,-0.0010209,0.00030075,0.0
299,300,0.27623000000000003,0.39988,0.0,-0.0010949999999999998,0.00034322,0.0
300,301,0.26715,0.35202,0.0,-0.0009186,0.00040255,0.0
301,302,0.23123000000000002,0.34875,0.0,-0.00090809,0.00033871,0.0
302,303,0.18275999999999998,0.36649,0.0,-0.00095303,0.00025674,0.0
303,304,0.2072,0.42449,0.0,-0.0010889,0.00027982,0.0
304,305,0.16572,0.39786,0.0,-0.0010126,0.00023277,0.0
305,306,0.14599,0.3378,0.0,-0.00087577,0.00022123,0.0
306,307,0.16877999999999999,0.31390999999999997,0.0,-0.00080664,0.00025654,0.0
307,308,0.1914,0.33087,0.0,-0.00085189,0.00028110000000000006,0.0
308,309,0.2071,0.28199,0.0,-0.00069472,0.00033597,0.0
309,310,0.18313,0.29333000000000004,0.0,-0.00074157,0.00028694,0.0
310,311,0.20574,0.31029,0.0,-0.00078801,0.00031539999999999997,0.0
311,312,0.26084,0.44001,0.0,-0.0011216,0.0002738,0.0
312,313,0.18331,0.45816999999999997,0.0,-0.0011401,0.00023591,0.0
313,314,0.23569,0.48616000000000004,0.0,-0.0012171,0.00013130000000000002,0.0
314,315,0.31869000000000003,0.39716999999999997,0.0,-0.0010737,0.00054784,0.0
315,316,0.31617,0.46461,0.0,-0.0011943,0.00062356,0.0
316,317,0.34146,0.43193000000000004,0.0,-0.0012052999999999999,0.00072653,0.0
317,318,0.4386,0.41496000000000005,0.0,-0.0010972999999999998,0.0023187,0.0
318,319,0.442,0.45314,0.0,-0.0010972999999999998,0.0023187,0.0
319,320,0.40841,0.43487,0.0,-0.00122,0.000354,0.0
