,node_number,x_loc,y_loc,z_loc,x_disp,y_disp,z_disp
0,1,0.020013999999999997,-1.0197,0.0,0.0017786999999999998,-0.00070544,0.0
1,2,0.0,0.0,0.0,0.0010939,-0.00081811,0.0
2,3,0.019037000000000002,-0.9699700000000001,0.0,0.0017481999999999999,-0.00070604,0.0
3,4,0.01806,-0.9202,0.0,0.0017177,-0.00070664,0.0
4,5,0.017083,-0.87044,0.0,0.0016871,-0.00070722,0.0
5,6,0.016107,-0.8206700000000001,0.0,0.0016565999999999998,-0.00070765,0.0
6,7,0.015130000000000001,-0.7709,0.0,0.0016265000000000001,-0.00070777,0.0
7,8,0.014153,-0.72114,0.0,0.0015977,-0.00070774,0.0
8,9,0.013151,-0.67006,0.0,0.0015704,-0.0007084,0.0
9,10,0.012048999999999999,-0.61392,0.0,0.0015437,-0.00071222,0.0
10,11,0.010745999999999999,-0.54756,0.0,0.0015149,-0.00072609,0.0
11,12,0.009254799999999999,-0.47155,0.0,0.0014753,-0.00076423,0.0
12,13,0.0079551,-0.40533,0.0,0.0014165,-0.00082126,0.0
13,14,0.0068565,-0.34935,0.0,0.0013344000000000001,-0.00087927,0.0
14,15,0.0058548,-0.29832,0.0,0.0012317,-0.00092266,0.0
15,16,0.004878100000000001,-0.24855,0.0,0.0011220999999999998,-0.00093686,0.0
16,17,0.0039014,-0.19877999999999998,0.0,0.0010349,-0.00091523,0.0
17,18,0.0029246,-0.14902,0.0,0.00099932,-0.00087195,0.0
18,19,0.0019479,-0.099249,0.0,0.0010162,-0.00083388,0.0
19,20,0.00097115,-0.049482,0.0,0.0010574999999999998,-0.0008189,0.0
20,21,0.7935,-0.14422000000000001,0.0,0.0010972999999999998,-0.00013783,0.0
21,22,0.76067,-0.18137999999999999,0.0,0.0011993,-0.00022752,0.0
22,23,0.7278399999999999,-0.21855,0.0,0.0013027999999999998,-0.00031626,0.0
23,24,0.695,-0.25571,0.0,0.0014192,-0.00041176,0.0
24,25,0.66217,-0.29288000000000003,0.0,0.0015392000000000001,-0.00053361,0.0
25,26,0.62934,-0.33004,0.0,0.0016215,-0.00068283,0.0
26,27,0.5965,-0.3672,0.0,0.0016254000000000002,-0.00081246,0.0
27,28,0.56316,-0.40495,0.0,0.0015497999999999998,-0.0008661,0.0
28,29,0.52627,-0.4467,0.0,0.0014414999999999999,-0.00080902,0.0
29,30,0.48239,-0.49636,0.0,0.0013744000000000002,-0.00066795,0.0
30,31,0.43286,-0.5524399999999999,0.0,0.0013999000000000001,-0.0005474999999999999,0.0
31,32,0.38115,-0.6109600000000001,0.0,0.001467,-0.00050359,0.0
32,33,0.33116999999999996,-0.6675300000000001,0.0,0.0015334,-0.00050933,0.0
33,34,0.28712,-0.7174,0.0,0.001582,-0.00053436,0.0
34,35,0.25005,-0.75936,0.0,0.0016155000000000002,-0.00055976,0.0
35,36,0.21696,-0.79681,0.0,0.0016414,-0.00058253,0.0
36,37,0.18413,-0.8339799999999999,0.0,0.0016649999999999998,-0.00060417,0.0
37,38,0.15129,-0.8711399999999999,0.0,0.0016878,-0.0006249,0.0
38,39,0.11846,-0.9083,0.0,0.0017104,-0.00064514,0.0
39,40,0.085625,-0.94547,0.0,0.0017331,-0.00066524,0.0
40,41,0.052791,-0.9826299999999999,0.0,0.0017559000000000001,-0.00068536,0.0
41,42,0.048641000000000004,-0.0088404,0.0,0.0010888,-0.00084868,0.0
42,43,0.09728200000000001,-0.017681,0.0,0.0010988,-0.00087555,0.0
43,44,0.14592,-0.026521,0.0,0.0011408,-0.00093317,0.0
44,45,0.19455999999999998,-0.035361000000000004,0.0,0.0011994999999999998,-0.0010823,0.0
45,46,0.24320999999999998,-0.044202,0.0,0.0012372,-0.0014366,0.0
46,47,0.29185,-0.053042,0.0,0.00089065,-0.0019375,0.0
47,48,0.34078,-0.061935000000000004,0.0,0.00089065,-0.0019375,0.0
48,49,0.39682,-0.072121,0.0,0.00089065,-0.0019375,0.0
49,50,0.45283999999999996,-0.082303,0.0,0.00089065,-0.0019375,0.0
50,51,0.5017699999999999,-0.091195,0.0,0.00089065,-0.0019375,0.0
51,52,0.5504100000000001,-0.10004,0.0,0.0011132,-0.0004599,0.0
52,53,0.59905,-0.10887999999999999,0.0,0.001075,-0.00058504,0.0
53,54,0.64769,-0.11772,0.0,0.0010384,-0.00052782,0.0
54,55,0.69633,-0.12655999999999998,0.0,0.0010515999999999998,-0.00040564,0.0
55,56,0.74497,-0.1354,0.0,0.0010728,-0.00027091,0.0
56,57,0.09377,-0.75071,0.0,0.0016141999999999999,-0.0006606,0.0
57,58,0.11738,-0.74817,0.0,0.0016122,-0.00064597,0.0
58,59,0.096611,-0.7036600000000001,0.0,0.0015873,-0.00065885,0.0
59,60,0.13421,-0.7075100000000001,0.0,0.0015877,-0.00063471,0.0
60,61,0.49237,-0.24733000000000002,0.0,0.0014921,-0.0011612999999999999,0.0
61,62,0.22694,-0.3953,0.0,0.0014405999999999998,-0.00044888,0.0
62,63,0.1544,-0.66133,0.0,0.0015602,-0.00061897,0.0
63,64,0.17413,-0.20462,0.0,0.0010042999999999999,-0.00086023,0.0
64,65,0.23905,-0.34535,0.0,0.0014405999999999998,-0.00044888,0.0
65,66,0.20008,-0.20640999999999998,0.0,0.0010047,-0.00085632,0.0
66,67,0.25408000000000003,-0.28415,0.0,0.0014405999999999998,-0.00044888,0.0
67,68,0.34575,-0.31416,0.0,0.0014405999999999998,-0.00044888,0.0
68,69,0.20626999999999998,-0.23931,0.0,0.0012235999999999998,-0.00064482,0.0
69,70,0.45829,-0.25715,0.0,0.0014715,-0.0012519,0.0
70,71,0.51513,-0.26326,0.0,0.0015389000000000002,-0.0010238,0.0
71,72,0.14044,-0.20768000000000003,0.0,0.0010216000000000001,-0.00084921,0.0
72,73,0.17855,-0.16627999999999998,0.0,0.00091158,-0.00092089,0.0
73,74,0.46291000000000004,-0.2847,0.0,0.0015452,-0.0010819,0.0
74,75,0.42846000000000006,-0.29823,0.0,0.0015329,-0.00085262,0.0
75,76,0.30571,-0.37085,0.0,0.0014405999999999998,-0.00044888,0.0
76,77,0.1742,-0.61027,0.0,0.0015316,-0.00059881,0.0
77,78,0.2667,-0.42633000000000004,0.0,0.0014405999999999998,-0.00044888,0.0
78,79,0.21113,-0.48007,0.0,0.0014759999999999999,-0.00052918,0.0
79,80,0.17689000000000002,-0.34906,0.0,0.0014345999999999999,-0.00054045,0.0
80,81,0.22019,-0.1793,0.0,0.00086687,-0.00097969,0.0
81,82,0.2565,-0.20655,0.0,0.0011539999999999999,-0.00078081,0.0
82,83,0.35076,-0.24733000000000002,0.0,0.0014405999999999998,-0.00044888,0.0
83,84,0.46246000000000004,-0.22111999999999998,0.0,0.0012777,-0.0015080999999999998,0.0
84,85,0.17432999999999998,-0.2992,0.0,0.0013856,-0.00059653,0.0
85,86,0.15904000000000001,-0.25528,0.0,0.0012037,-0.00075059,0.0
86,87,0.50226,-0.22366999999999998,0.0,0.0013995,-0.0011607000000000002,0.0
87,88,0.54707,-0.28188,0.0,0.0015626,-0.00089975,0.0
88,89,0.13648,-0.16037,0.0,0.00094562,-0.00087955,0.0
89,90,0.1852,-0.12443,0.0,0.0009224,-0.00099235,0.0
90,91,0.5060399999999999,-0.31263,0.0,0.0015919,-0.00095941,0.0
91,92,0.45568000000000003,-0.33923000000000003,0.0,0.0015121,-0.00082457,0.0
92,93,0.2791,-0.51875,0.0,0.0014585000000000002,-0.00049747,0.0
93,94,0.24774000000000002,-0.5748800000000001,0.0,0.0014925000000000001,-0.00053769,0.0
94,95,0.22083000000000003,-0.63115,0.0,0.0015306,-0.00056938,0.0
95,96,0.19335,-0.68307,0.0,0.0015672000000000001,-0.00059438,0.0
96,97,0.13417,-0.76969,0.0,0.001625,-0.00063557,0.0
97,98,0.16548,-0.73135,0.0,0.0016000999999999997,-0.00061516,0.0
98,99,0.10874,-0.65109,0.0,0.0015595999999999997,-0.00065053,0.0
99,100,0.12120999999999998,-0.59708,0.0,0.0015347999999999998,-0.00064001,0.0
100,101,0.13332,-0.53991,0.0,0.0015122,-0.00062619,0.0
