
2020-06-10 16:53:13.331626
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
1                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010010719299316406s 
10                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009944677352905273s 
100                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011970281600952148s 
101                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010942697525024414s 
102                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.01099538803100586s 
103                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.01097249984741211s 
11                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009971141815185547s 
12                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009973526000976562s 
13                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010001420974731445s 
14                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009979009628295898s 
15                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009966135025024414s 
16                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010933637619018555s 
17                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009003877639770508s 
18                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009971141815185547s 
19                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                        0.009979248046875s 
2                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010942697525024414s 
20                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011970043182373047s 
21                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009966850280761719s 
22                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010001182556152344s 
23                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00997614860534668s 
24                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010971784591674805s 
25                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.015961885452270508s 
26                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010941505432128906s 
27                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009940385818481445s 
28                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00993967056274414s 
29                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011002302169799805s 
30                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009937286376953125s 
31                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011075496673583984s 
32                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009994268417358398s 
33                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                       0.0109405517578125s 
34                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009973764419555664s 
35                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010004043579101562s 
36                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.01096963882446289s 
37                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010938882827758789s 
38                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010941505432128906s 
39                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010938405990600586s 
4                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011002302169799805s 
40                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010941267013549805s 
41                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010983705520629883s 
42                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011000394821166992s 
43                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.01094198226928711s 
44                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010993003845214844s 
45                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010946035385131836s 
46                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010940790176391602s 
47                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010003805160522461s 
48                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00997304916381836s 
49                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010971546173095703s 
5                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009970426559448242s 
50                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.008945226669311523s 
51                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009976625442504883s 
52                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009976387023925781s 
53                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.008974313735961914s 
54                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00894618034362793s 
55                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00994253158569336s 
56                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009943723678588867s 
57                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009974956512451172s 
58                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009940862655639648s 
59                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011938810348510742s 
6                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.13652801513671875s 
60                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009943246841430664s 
