
2020-06-16 11:16:18.660433
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
1                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.006983041763305664s 
10                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                       0.0806586742401123s 
100                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.006987094879150391s 
101                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.025563716888427734s 
102                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007100582122802734s 
103                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007973432540893555s 
11                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007010936737060547s 
12                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007024288177490234s 
13                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                    0.0059282779693603516s 
14                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007035017013549805s 
15                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                    0.0060312747955322266s 
16                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.02702951431274414s 
17                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00803065299987793s 
18                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007004499435424805s 
19                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008032798767089844s 
2                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007035017013549805s 
20                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007039785385131836s 
21                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009023189544677734s 
22                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.006686210632324219s 
23                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008006811141967773s 
24                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00690460205078125s 
25                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008043766021728516s 
26                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007237434387207031s 
27                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007095813751220703s 
