
2020-06-16 11:11:52.002448
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
1                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008000850677490234s 
10                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005964756011962891s 
100                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.009003639221191406s 
101                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0049991607666015625s 
102                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0070002079010009766s 
103                  CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006003141403198242s 
11                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.00799870491027832s 
12                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005967140197753906s 
13                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007002592086791992s 
14                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.03800392150878906s 
15                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006001472473144531s 
16                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0069692134857177734s 
17                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.040001630783081055s 
18                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.00603032112121582s 
19                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006005525588989258s 
2                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.07796907424926758s 
20                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008033514022827148s 
21                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008000612258911133s 
22                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0069980621337890625s 
23                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                       0.0070037841796875s 
24                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                       0.1620016098022461s 
25                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.00797128677368164s 
26                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005966663360595703s 
27                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006035804748535156s 
28                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.03000354766845703s 
29                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.030001163482666016s 
30                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005996227264404297s 
31                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007004737854003906s 
32                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006999015808105469s 
33                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.046002864837646484s 
34                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008000850677490234s 
